"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"d:\Github\..projects\JavaMath\README.md", "Markdown", 0, 21, 0, -1, 20
"d:\Github\..projects\JavaMath\bin\App.class", "Java", 1, 0, 0, 0, 1
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\ComplexNumbers.class", "Java", 12, 0, 0, 0, 12
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\functions\complex_beta_function.class", "Java", 14, 0, 0, 0, 14
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\fourier_series\sawtooth_wave.class", "Java", 13, 0, 0, 0, 13
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_beta_plotter.class", "Java", 69, 0, 0, 2, 71
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_cosh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_coth_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_csch_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sech_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sinh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_tanh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cos_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cot_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_csc_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sec_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sin_plotter.class", "Java", 64, 0, 0, 2, 66
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_tan_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\function_plotter\fourier_series\sawtooth_wave_plotter.class", "Java", 46, 0, 0, 0, 46
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\plotter.class", "Java", 16, 0, 0, 0, 16
"d:\Github\..projects\JavaMath\src\App.java", "Java", 3, 0, 32, 1, 36
"d:\Github\..projects\JavaMath\src\lib\java\math\complex\ComplexNumbers.java", "Java", 68, 0, 10, 0, 78
"d:\Github\..projects\JavaMath\src\lib\java\math\complex\functions\complex_beta_function.java", "Java", 10, 0, 0, 3, 13
"d:\Github\..projects\JavaMath\src\lib\java\math\functions\fourier_series\sawtooth_wave.java", "Java", 14, 0, 1, 3, 18
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_beta_plotter.java", "Java", 84, 0, 12, 4, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_cosh_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_coth_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_csch_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sech_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sinh_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_tanh_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cos_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cot_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_csc_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sec_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sin_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_tan_plotter.java", "Java", 81, 0, 14, 5, 100
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\function_plotter\fourier_series\sawtooth_wave_plotter.java", "Java", 58, 0, 12, 3, 73
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\function_plotter\mobius_plotter.java", "Java", 0, 0, 0, -2, -2
"d:\Github\..projects\JavaMath\src\lib\java\math\plotter\plotter.java", "Java", 42, 0, 0, 0, 42
"Total", "-", 2179, 21, 235, 97, 2532
