"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"d:\Github\..projects\JavaMath\README.md", "Markdown", 0, 64, 1, 10, 75
"d:\Github\..projects\JavaMath\bin\App.class", "Java", 10, 0, 0, 0, 10
"d:\Github\..projects\JavaMath\bin\lib\java\constants\constants.class", "Java", 5, 0, 0, 0, 5
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\ComplexNumbers.class", "Java", 69, 0, 0, 0, 69
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\Support.class", "Java", 15, 0, 0, 0, 15
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\functions\complex_beta_function.class", "Java", 14, 0, 0, 0, 14
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\functions\complex_gamma_function.class", "Java", 32, 0, 0, 0, 32
"d:\Github\..projects\JavaMath\bin\lib\java\math\complex\functions\complex_zeta_function.class", "Java", 39, 0, 0, 0, 39
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\fourier_series\sawtooth_wave.class", "Java", 13, 0, 0, 0, 13
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\gamma_function.class", "Java", 21, 0, 0, 0, 21
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\kronecker_delta.class", "Java", 8, 0, 0, 0, 8
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\liouville_function.class", "Java", 8, 0, 0, 0, 8
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\mobius_function.class", "Java", 15, 0, 0, 0, 15
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\prime_omega_function.class", "Java", 25, 0, 0, 0, 25
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\riemann_zeta_function.class", "Java", 14, 0, 0, 0, 14
"d:\Github\..projects\JavaMath\bin\lib\java\math\functions\sign_function.class", "Java", 9, 0, 0, 0, 9
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_beta_plotter.class", "Java", 69, 0, 0, 2, 71
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_gamma_plotter.class", "Java", 68, 0, 0, 2, 70
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_cosh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_coth_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_csch_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sech_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_sinh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_hyperbolic\complex_tanh_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cos_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_cot_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_csc_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sec_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_sin_plotter.class", "Java", 64, 0, 0, 2, 66
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_trigonometry\complex_tan_plotter.class", "Java", 63, 0, 0, 2, 65
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\complex_function_plotter\complex_zeta_plotter.class", "Java", 66, 0, 0, 2, 68
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\function_plotter\fourier_series\sawtooth_wave_plotter.class", "Java", 46, 0, 0, 0, 46
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\function_plotter\gamma_plotter.class", "Java", 51, 0, 0, 3, 54
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\function_plotter\mobius_plotter.class", "Java", 51, 0, 0, 2, 53
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\function_plotter\zeta_plotter.class", "Java", 49, 0, 0, 3, 52
"d:\Github\..projects\JavaMath\bin\lib\java\math\plotter\plotter.class", "Java", 35, 0, 0, 0, 35
"d:\Github\..projects\JavaMath\src\App.java", "Java", 15, 0, 88, 6, 109
